start - stop : name coords
2024-08-10 11:55:00.000 - 2024-08-09 12:00:00.000 : B0339+53 [0.9739598041613462 deg, 0.92877423683148 deg, 'J2000']
2024-08-10 13:16:00.000 - 2024-08-09 12:00:00.000 : TOI-1696 [1.1393622454354513, 0.8520667947078544, 'J2000']
2024-08-10 14:37:00.000 - 2024-08-09 12:00:00.000 : B0402+61 [1.07556501293891 deg, 1.0759053472949123 deg, 'J2000']
2024-08-10 15:58:00.000 - 2024-08-09 12:00:00.000 : B0458+46 [1.3180552705356499 deg, 0.8185889443385201 deg, 'J2000']
2024-08-10 17:19:00.000 - 2024-08-09 12:00:00.000 : TOI-1694 [1.7060368360584233, 1.1582108868044618, 'J2000']
2024-08-10 18:40:00.000 - 2024-08-09 12:00:00.000 : J0740+6620 [2.0104588831631456 deg, 1.15789754766607 deg, 'J2000']
2024-08-10 20:01:00.000 - 2024-08-09 12:00:00.000 : TOI-3785 [2.284639931814028, 1.1009201259858488, 'J2000']
2024-08-10 21:22:00.000 - 2024-08-09 12:00:00.000 : J0815+4611 [2.1641691698255188 deg, 0.8063093410165372 deg, 'J2000']
2024-08-10 22:43:00.000 - 2024-08-09 12:00:00.000 : B0917+63 [2.448852266497889 deg, 1.0978794811524366 deg, 'J2000']
2024-08-11 00:04:00.000 - 2024-08-09 12:00:00.000 : TOI-3807 [2.427972286653967, 1.2055709685253229, 'J2000']
