Name Time RA DEC freqrng dur
J0006+1834 00:00 5.718698550478506 0.9214832111121509 100e6:190e6 30m
TOI-1386 00:31 5.838197957034913 0.9480461887702802 100e6:190e6 80m
B2306+55 01:52 6.057297668625367 0.9737775127734739 100e6:190e6 15m
B2319+60 02:08 6.117030874630419 1.0543278521025512 100e6:190e6 15m
TOI-1470 02:24 0.1760887657998675 1.0683751459568358 100e6:190e6 80m
B0114+58 03:45 0.33878737288554633 1.0340028925981761 100e6:190e6 15m
J0139+5621 04:01 0.43477315220013407 0.983671444933453 100e6:190e6 15m
B0136+57 04:17 0.4334045304505671 1.0165176639432234 100e6:190e6 15m
TOI-3688 A 04:33 0.685606120273321 0.95733430395996 100e6:190e6 80m
B0329+54 05:54 0.9293448915873813 0.9525780600914605 100e6:190e6 15m
J0341+5711 06:10 0.964294411726867 0.9980374439320907 100e6:190e6 15m
B0355+54 06:26 1.042377809922805 0.9463261695073966 100e6:190e6 15m
B0353+52 06:42 1.0373684604423985 0.9183219204786977 100e6:190e6 15m
B0450+55 06:58 1.2833806397533531 0.9726401738145487 100e6:190e6 15m
J0417+61 07:14 1.1213740444063565 1.0669779493858669 100e6:190e6 15m
TOI-3757 07:30 1.5883131894421851 0.960279793164125 100e6:190e6 80m
J0636+5128 08:51 1.7282284468973392 0.8985535107621351 100e6:190e6 15m
J0645+5158 09:07 1.7714424856428632 0.9070617233295163 100e6:190e6 15m
J0750+57 09:23 2.050761871093337 0.9948376736367679 100e6:190e6 15m
B0655+64 09:39 1.8353447536100413 1.122301008164638 100e6:190e6 15m
TOI-1728 09:55 2.105070909672514 1.1309236675138505 100e6:190e6 80m
HD 77946 11:16 2.387220230920667 0.8145874878854437 100e6:190e6 80m
J1012+5307 12:37 2.6727854018613546 0.9270718728473917 100e6:190e6 15m
TOI-1199 12:53 2.9126169417399446 1.0708043912028702 100e6:190e6 80m
J1110+58 14:14 2.9277898202204873 1.0274171530073286 100e6:190e6 15m
TOI-2068 14:30 3.2510869314112085 1.0544990575824997 100e6:190e6 80m
TOI-1273 15:51 3.7371139413699725 1.0191021729038137 100e6:190e6 80m
B1508+55 17:12 3.9681245768097284 0.9691056736093772 100e6:190e6 15m
TOI-2048 17:28 4.152559030035971 0.9129172993982378 100e6:190e6 80m
TOI-2260 18:49 4.322604595046138 0.8560279573262664 100e6:190e6 80m
TOI-2180 20:10 4.851031478444886 0.9887408702950795 100e6:190e6 80m
TOI-2010 21:31 5.099275098147319 0.9335307042604639 100e6:190e6 80m
TOI-1448 22:52 5.52089535543842 1.0082958132511164 100e6:190e6 80m
TOI-2285 00:13 5.804323934960444 1.0246146208133124 100e6:190e6 80m
B2255+58 01:34 6.012495114342891 1.0324342477166428 100e6:190e6 15m
J2302+6028 01:50 6.030927052624672 1.0553434876293364 100e6:190e6 15m
B2324+60 02:06 6.139100805706284 1.0686092709536719 100e6:190e6 15m
B2334+61 02:22 6.183247899654495 1.079493560007814 100e6:190e6 15m
B0037+56 02:38 0.1768883851968984 0.9996122787568492 100e6:190e6 15m
TOI-3693 02:54 0.2732207142137867 0.8954218309969202 100e6:190e6 80m
B0144+59 04:15 0.47012213457216984 1.036159720548588 100e6:190e6 15m
J0212+5222 04:31 0.5797502715273968 0.9142108131790153 100e6:190e6 15m
J0214+5222 04:47 0.5887049744905737 0.9141690743602288 100e6:190e6 15m
J0215+6218 05:03 0.5931666525169623 1.0875019901404421 100e6:190e6 15m
B0154+61 05:19 0.5141407927485102 1.0857239878902152 100e6:190e6 15m
B0339+53 05:35 0.9739598041613462 0.92877423683148 100e6:190e6 15m
TOI-1696 05:51 1.1393622454354513 0.8520667947078544 100e6:190e6 80m
B0402+61 07:12 1.07556501293891 1.0759053472949123 100e6:190e6 15m
B0458+46 07:28 1.3180552705356499 0.8185889443385201 100e6:190e6 15m
TOI-1694 07:44 1.7060368360584233 1.1582108868044618 100e6:190e6 80m
J0740+6620 09:05 2.0104588831631456 1.15789754766607 100e6:190e6 15m
TOI-3785 09:21 2.284639931814028 1.1009201259858488 100e6:190e6 80m
J0815+4611 10:42 2.1641691698255188 0.8063093410165372 100e6:190e6 15m
B0917+63 10:58 2.448852266497889 1.0978794811524366 100e6:190e6 15m
TOI-3807 11:14 2.427972286653967 1.2055709685253229 100e6:190e6 46.0m
